Source,Target,Weight
4,1,1
9,1,1
12,1,1
13,1,1
16,1,1
17,1,1
18,1,1
19,1,1
23,1,1
24,1,1
29,1,1
31,1,1
32,1,1
36,1,1
39,1,1
42,1,1
43,1,1
44,1,1
46,1,1
48,1,1
50,1,1
59,1,1
60,1,1
61,1,1
65,1,1
67,1,1
74,1,1
77,1,1
78,1,1
82,1,1
84,1,1
88,1,1
90,1,1
97,1,1
100,1,1
104,1,1
108,1,1
112,1,1
113,1,1
141,1,1
142,1,1
1,2,1
10,2,1
11,2,1
13,2,1
14,2,1
20,2,1
21,2,1
24,2,1
25,2,1
26,2,1
32,2,1
33,2,1
40,2,1
42,2,1
48,2,1
49,2,1
53,2,1
56,2,1
58,2,1
60,2,1
65,2,1
70,2,1
72,2,1
73,2,1
75,2,1
79,2,1
82,2,1
83,2,1
97,2,1
101,2,1
106,2,1
113,2,1
6,3,1
10,3,1
11,3,1
13,3,1
15,3,1
16,3,1
17,3,1
18,3,1
19,3,1
21,3,1
24,3,1
28,3,1
29,3,1
30,3,1
33,3,1
39,3,1
46,3,1
47,3,1
48,3,1
60,3,1
62,3,1
64,3,1
65,3,1
66,3,1
67,3,1
81,3,1
84,3,1
85,3,1
88,3,1
89,3,1
93,3,1
96,3,1
98,3,1
101,3,1
103,3,1
105,3,1
111,3,1
112,3,1
115,3,1
117,3,1
2,4,1
3,4,1
8,4,1
9,4,1
12,4,1
13,4,1
18,4,1
25,4,1
27,4,1
28,4,1
29,4,1
32,4,1
33,4,1
40,4,1
42,4,1
45,4,1
51,4,1
53,4,1
55,4,1
60,4,1
66,4,1
73,4,1
75,4,1
78,4,1
79,4,1
88,4,1
89,4,1
91,4,1
92,4,1
95,4,1
99,4,1
104,4,1
105,4,1
106,4,1
108,4,1
109,4,1
110,4,1
112,4,1
116,4,1
117,4,1
119,4,1
137,4,1
1,5,1
2,5,1
7,5,1
9,5,1
10,5,1
11,5,1
12,5,1
13,5,1
16,5,1
18,5,1
19,5,1
24,5,1
28,5,1
30,5,1
35,5,1
37,5,1
42,5,1
43,5,1
45,5,1
46,5,1
47,5,1
54,5,1
58,5,1
63,5,1
68,5,1
79,5,1
87,5,1
90,5,1
92,5,1
93,5,1
95,5,1
96,5,1
97,5,1
98,5,1
100,5,1
101,5,1
106,5,1
108,5,1
109,5,1
110,5,1
111,5,1
1,6,1
9,6,1
10,6,1
11,6,1
12,6,1
13,6,1
15,6,1
16,6,1
19,6,1
21,6,1
25,6,1
39,6,1
40,6,1
42,6,1
43,6,1
45,6,1
46,6,1
52,6,1
53,6,1
56,6,1
58,6,1
67,6,1
69,6,1
70,6,1
76,6,1
80,6,1
81,6,1
82,6,1
83,6,1
84,6,1
88,6,1
97,6,1
99,6,1
111,6,1
112,6,1
113,6,1
114,6,1
115,6,1
2,7,1
3,7,1
6,7,1
9,7,1
10,7,1
11,7,1
12,7,1
13,7,1
14,7,1
17,7,1
18,7,1
19,7,1
23,7,1
24,7,1
26,7,1
27,7,1
31,7,1
39,7,1
41,7,1
44,7,1
45,7,1
47,7,1
48,7,1
50,7,1
55,7,1
59,7,1
62,7,1
68,7,1
75,7,1
76,7,1
77,7,1
79,7,1
83,7,1
86,7,1
87,7,1
94,7,1
95,7,1
96,7,1
97,7,1
104,7,1
105,7,1
106,7,1
114,7,1
3,8,1
5,8,1
9,8,1
10,8,1
11,8,1
12,8,1
13,8,1
14,8,1
15,8,1
16,8,1
17,8,1
18,8,1
21,8,1
26,8,1
28,8,1
29,8,1
30,8,1
31,8,1
33,8,1
35,8,1
37,8,1
38,8,1
39,8,1
46,8,1
52,8,1
56,8,1
58,8,1
61,8,1
64,8,1
65,8,1
72,8,1
75,8,1
81,8,1
89,8,1
93,8,1
96,8,1
110,8,1
111,8,1
114,8,1
118,8,1
1,9,1
2,9,1
3,9,1
4,9,1
5,9,1
6,9,1
7,9,1
8,9,1
18,9,1
19,9,1
22,9,1
26,9,1
29,9,1
31,9,1
33,9,1
35,9,1
40,9,1
41,9,1
43,9,1
44,9,1
47,9,1
48,9,1
52,9,1
54,9,1
58,9,1
61,9,1
62,9,1
70,9,1
72,9,1
74,9,1
78,9,1
81,9,1
85,9,1
93,9,1
94,9,1
101,9,1
104,9,1
105,9,1
106,9,1
110,9,1
112,9,1
113,9,1
119,9,1
1,10,1
2,10,1
3,10,1
4,10,1
5,10,1
7,10,1
8,10,1
15,10,1
21,10,1
22,10,1
27,10,1
30,10,1
32,10,1
34,10,1
35,10,1
36,10,1
41,10,1
42,10,1
47,10,1
49,10,1
53,10,1
56,10,1
61,10,1
62,10,1
64,10,1
70,10,1
71,10,1
73,10,1
75,10,1
81,10,1
82,10,1
85,10,1
94,10,1
96,10,1
99,10,1
103,10,1
104,10,1
113,10,1
118,10,1
119,10,1
2,11,1
3,11,1
4,11,1
5,11,1
7,11,1
8,11,1
9,11,1
12,11,1
16,11,1
18,11,1
19,11,1
21,11,1
22,11,1
25,11,1
27,11,1
28,11,1
45,11,1
48,11,1
52,11,1
58,11,1
60,11,1
62,11,1
65,11,1
66,11,1
68,11,1
69,11,1
70,11,1
74,11,1
76,11,1
77,11,1
81,11,1
87,11,1
98,11,1
100,11,1
106,11,1
113,11,1
118,11,1
119,11,1
120,11,1
132,11,1
140,11,1
4,12,1
6,12,1
7,12,1
8,12,1
10,12,1
13,12,1
18,12,1
19,12,1
20,12,1
21,12,1
22,12,1
25,12,1
26,12,1
28,12,1
32,12,1
33,12,1
35,12,1
36,12,1
40,12,1
46,12,1
47,12,1
52,12,1
53,12,1
57,12,1
59,12,1
60,12,1
61,12,1
63,12,1
65,12,1
66,12,1
71,12,1
75,12,1
77,12,1
79,12,1
81,12,1
87,12,1
90,12,1
92,12,1
93,12,1
106,12,1
116,12,1
132,12,1
140,12,1
2,13,1
3,13,1
5,13,1
7,13,1
9,13,1
10,13,1
17,13,1
18,13,1
20,13,1
22,13,1
24,13,1
28,13,1
30,13,1
40,13,1
41,13,1
47,13,1
52,13,1
59,13,1
62,13,1
63,13,1
66,13,1
67,13,1
72,13,1
74,13,1
76,13,1
78,13,1
83,13,1
84,13,1
85,13,1
86,13,1
91,13,1
99,13,1
102,13,1
104,13,1
109,13,1
110,13,1
115,13,1
118,13,1
119,13,1
1,14,1
2,14,1
3,14,1
4,14,1
6,14,1
7,14,1
8,14,1
11,14,1
16,14,1
21,14,1
22,14,1
23,14,1
24,14,1
26,14,1
27,14,1
28,14,1
29,14,1
37,14,1
38,14,1
41,14,1
51,14,1
52,14,1
53,14,1
54,14,1
55,14,1
56,14,1
60,14,1
61,14,1
62,14,1
63,14,1
64,14,1
66,14,1
70,14,1
72,14,1
75,14,1
79,14,1
80,14,1
86,14,1
92,14,1
95,14,1
97,14,1
102,14,1
113,14,1
115,14,1
1,15,1
2,15,1
3,15,1
4,15,1
5,15,1
6,15,1
7,15,1
8,15,1
9,15,1
13,15,1
17,15,1
20,15,1
27,15,1
28,15,1
30,15,1
32,15,1
36,15,1
40,15,1
50,15,1
57,15,1
65,15,1
70,15,1
71,15,1
78,15,1
80,15,1
84,15,1
88,15,1
89,15,1
94,15,1
97,15,1
104,15,1
106,15,1
108,15,1
109,15,1
111,15,1
112,15,1
114,15,1
116,15,1
145,15,1
1,16,1
2,16,1
3,16,1
4,16,1
5,16,1
6,16,1
7,16,1
8,16,1
9,16,1
20,16,1
21,16,1
22,16,1
27,16,1
29,16,1
34,16,1
37,16,1
40,16,1
44,16,1
48,16,1
50,16,1
51,16,1
52,16,1
56,16,1
57,16,1
61,16,1
64,16,1
73,16,1
77,16,1
79,16,1
82,16,1
84,16,1
87,16,1
91,16,1
92,16,1
96,16,1
107,16,1
112,16,1
113,16,1
114,16,1
115,16,1
117,16,1
119,16,1
120,16,1
140,16,1
2,17,1
5,17,1
6,17,1
7,17,1
8,17,1
10,17,1
14,17,1
16,17,1
19,17,1
20,17,1
22,17,1
24,17,1
26,17,1
27,17,1
28,17,1
30,17,1
31,17,1
35,17,1
47,17,1
49,17,1
51,17,1
52,17,1
56,17,1
57,17,1
60,17,1
64,17,1
66,17,1
67,17,1
72,17,1
73,17,1
81,17,1
82,17,1
86,17,1
93,17,1
98,17,1
101,17,1
104,17,1
110,17,1
111,17,1
112,17,1
115,17,1
116,17,1
119,17,1
1,18,1
3,18,1
5,18,1
6,18,1
8,18,1
14,18,1
19,18,1
20,18,1
27,18,1
40,18,1
41,18,1
43,18,1
54,18,1
57,18,1
60,18,1
62,18,1
69,18,1
78,18,1
80,18,1
86,18,1
94,18,1
95,18,1
98,18,1
100,18,1
103,18,1
108,18,1
109,18,1
111,18,1
115,18,1
116,18,1
119,18,1
3,19,1
7,19,1
10,19,1
17,19,1
18,19,1
28,19,1
29,19,1
32,19,1
38,19,1
42,19,1
43,19,1
47,19,1
50,19,1
53,19,1
56,19,1
60,19,1
62,19,1
63,19,1
64,19,1
65,19,1
68,19,1
70,19,1
71,19,1
72,19,1
73,19,1
74,19,1
78,19,1
86,19,1
91,19,1
95,19,1
97,19,1
98,19,1
102,19,1
109,19,1
110,19,1
113,19,1
115,19,1
117,19,1
134,19,1
3,20,1
5,20,1
6,20,1
7,20,1
9,20,1
11,20,1
13,20,1
15,20,1
25,20,1
34,20,1
36,20,1
38,20,1
42,20,1
52,20,1
54,20,1
55,20,1
58,20,1
61,20,1
63,20,1
68,20,1
76,20,1
81,20,1
84,20,1
88,20,1
93,20,1
95,20,1
100,20,1
104,20,1
105,20,1
107,20,1
108,20,1
117,20,1
2,21,1
4,21,1
5,21,1
6,21,1
9,21,1
13,21,1
15,21,1
16,21,1
17,21,1
19,21,1
22,21,1
26,21,1
28,21,1
36,21,1
38,21,1
45,21,1
47,21,1
48,21,1
50,21,1
51,21,1
53,21,1
57,21,1
65,21,1
68,21,1
69,21,1
71,21,1
72,21,1
78,21,1
79,21,1
82,21,1
83,21,1
84,21,1
85,21,1
90,21,1
91,21,1
92,21,1
97,21,1
101,21,1
104,21,1
109,21,1
111,21,1
112,21,1
113,21,1
115,21,1
117,21,1
120,21,1
2,22,1
5,22,1
6,22,1
9,22,1
10,22,1
11,22,1
13,22,1
17,22,1
20,22,1
23,22,1
28,22,1
31,22,1
32,22,1
35,22,1
37,22,1
38,22,1
44,22,1
46,22,1
53,22,1
54,22,1
59,22,1
60,22,1
66,22,1
68,22,1
76,22,1
83,22,1
85,22,1
89,22,1
91,22,1
94,22,1
100,22,1
102,22,1
106,22,1
109,22,1
110,22,1
111,22,1
112,22,1
116,22,1
118,22,1
119,22,1
1,23,1
4,23,1
5,23,1
9,23,1
10,23,1
11,23,1
14,23,1
15,23,1
16,23,1
19,23,1
20,23,1
27,23,1
28,23,1
31,23,1
32,23,1
41,23,1
42,23,1
44,23,1
45,23,1
47,23,1
48,23,1
49,23,1
51,23,1
52,23,1
53,23,1
56,23,1
57,23,1
60,23,1
61,23,1
62,23,1
63,23,1
65,23,1
71,23,1
78,23,1
79,23,1
81,23,1
85,23,1
89,23,1
97,23,1
98,23,1
99,23,1
102,23,1
105,23,1
106,23,1
112,23,1
114,23,1
116,23,1
118,23,1
2,24,1
8,24,1
9,24,1
11,24,1
12,24,1
16,24,1
17,24,1
21,24,1
26,24,1
32,24,1
38,24,1
46,24,1
51,24,1
56,24,1
57,24,1
58,24,1
64,24,1
69,24,1
72,24,1
75,24,1
79,24,1
81,24,1
82,24,1
85,24,1
89,24,1
90,24,1
98,24,1
103,24,1
106,24,1
112,24,1
116,24,1
117,24,1
118,24,1
123,24,1
1,25,1
3,25,1
5,25,1
6,25,1
7,25,1
10,25,1
12,25,1
13,25,1
15,25,1
19,25,1
23,25,1
27,25,1
32,25,1
34,25,1
37,25,1
38,25,1
40,25,1
41,25,1
42,25,1
44,25,1
50,25,1
52,25,1
53,25,1
61,25,1
62,25,1
63,25,1
66,25,1
68,25,1
71,25,1
74,25,1
76,25,1
77,25,1
78,25,1
79,25,1
86,25,1
91,25,1
96,25,1
97,25,1
100,25,1
108,25,1
109,25,1
112,25,1
115,25,1
116,25,1
117,25,1
119,25,1
120,25,1
140,25,1
2,26,1
3,26,1
11,26,1
12,26,1
19,26,1
30,26,1
31,26,1
33,26,1
38,26,1
39,26,1
42,26,1
43,26,1
45,26,1
48,26,1
61,26,1
64,26,1
66,26,1
67,26,1
69,26,1
72,26,1
73,26,1
75,26,1
76,26,1
78,26,1
81,26,1
87,26,1
89,26,1
90,26,1
93,26,1
94,26,1
97,26,1
100,26,1
107,26,1
108,26,1
111,26,1
113,26,1
114,26,1
119,26,1
1,27,1
4,27,1
5,27,1
7,27,1
8,27,1
9,27,1
10,27,1
14,27,1
15,27,1
16,27,1
18,27,1
20,27,1
24,27,1
26,27,1
33,27,1
37,27,1
38,27,1
40,27,1
49,27,1
54,27,1
57,27,1
59,27,1
60,27,1
62,27,1
65,27,1
66,27,1
68,27,1
71,27,1
72,27,1
77,27,1
85,27,1
86,27,1
92,27,1
94,27,1
98,27,1
107,27,1
111,27,1
112,27,1
115,27,1
117,27,1
1,28,1
5,28,1
7,28,1
8,28,1
9,28,1
10,28,1
11,28,1
13,28,1
16,28,1
18,28,1
24,28,1
29,28,1
30,28,1
31,28,1
32,28,1
37,28,1
38,28,1
43,28,1
44,28,1
45,28,1
53,28,1
55,28,1
60,28,1
63,28,1
75,28,1
79,28,1
80,28,1
86,28,1
87,28,1
100,28,1
101,28,1
102,28,1
105,28,1
107,28,1
111,28,1
117,28,1
3,29,1
5,29,1
11,29,1
18,29,1
19,29,1
25,29,1
27,29,1
32,29,1
37,29,1
40,29,1
41,29,1
44,29,1
45,29,1
46,29,1
47,29,1
51,29,1
52,29,1
59,29,1
62,29,1
63,29,1
70,29,1
72,29,1
73,29,1
74,29,1
76,29,1
77,29,1
78,29,1
81,29,1
82,29,1
85,29,1
86,29,1
89,29,1
93,29,1
100,29,1
102,29,1
104,29,1
105,29,1
109,29,1
112,29,1
114,29,1
116,29,1
143,29,1
1,30,1
6,30,1
9,30,1
10,30,1
12,30,1
13,30,1
15,30,1
17,30,1
19,30,1
20,30,1
22,30,1
26,30,1
29,30,1
38,30,1
39,30,1
41,30,1
42,30,1
48,30,1
49,30,1
52,30,1
53,30,1
54,30,1
58,30,1
59,30,1
60,30,1
64,30,1
66,30,1
68,30,1
69,30,1
72,30,1
76,30,1
81,30,1
86,30,1
87,30,1
91,30,1
95,30,1
100,30,1
111,30,1
113,30,1
120,30,1
144,30,1
3,31,1
5,31,1
10,31,1
13,31,1
14,31,1
21,31,1
28,31,1
34,31,1
38,31,1
39,31,1
41,31,1
43,31,1
44,31,1
45,31,1
46,31,1
47,31,1
49,31,1
52,31,1
56,31,1
57,31,1
58,31,1
59,31,1
61,31,1
67,31,1
71,31,1
73,31,1
74,31,1
78,31,1
79,31,1
81,31,1
82,31,1
86,31,1
87,31,1
88,31,1
90,31,1
91,31,1
92,31,1
94,31,1
95,31,1
96,31,1
98,31,1
99,31,1
101,31,1
103,31,1
106,31,1
108,31,1
112,31,1
116,31,1
118,31,1
134,31,1
7,32,1
11,32,1
14,32,1
17,32,1
19,32,1
25,32,1
30,32,1
31,32,1
36,32,1
37,32,1
40,32,1
41,32,1
46,32,1
53,32,1
55,32,1
56,32,1
59,32,1
60,32,1
62,32,1
63,32,1
64,32,1
65,32,1
66,32,1
68,32,1
71,32,1
76,32,1
77,32,1
86,32,1
90,32,1
92,32,1
101,32,1
103,32,1
104,32,1
106,32,1
115,32,1
121,32,1
144,32,1
1,33,1
2,33,1
4,33,1
5,33,1
6,33,1
8,33,1
10,33,1
12,33,1
15,33,1
16,33,1
20,33,1
24,33,1
25,33,1
26,33,1
29,33,1
30,33,1
35,33,1
37,33,1
38,33,1
39,33,1
40,33,1
41,33,1
44,33,1
46,33,1
47,33,1
52,33,1
56,33,1
57,33,1
58,33,1
65,33,1
66,33,1
67,33,1
68,33,1
71,33,1
72,33,1
73,33,1
74,33,1
78,33,1
