ID1,ID2,Weight
4,1,1
9,1,1
12,1,1
13,1,1
16,1,1
17,1,1
18,1,1
19,1,1
23,1,1
24,1,1
29,1,1
30,1,1
35,1,1
36,1,1
41,1,1
45,1,1
47,1,1
56,1,1
58,1,1
59,1,1
70,1,1
1,2,1
10,2,1
11,2,1
13,2,1
14,2,1
20,2,1
21,2,1
24,2,1
25,2,1
26,2,1
38,2,1
48,2,1
54,2,1
58,2,1
70,2,1
6,3,1
10,3,1
11,3,1
13,3,1
15,3,1
16,3,1
17,3,1
18,3,1
19,3,1
21,3,1
24,3,1
28,3,1
34,3,1
42,3,1
48,3,1
53,3,1
54,3,1
56,3,1
64,3,1
70,3,1
2,4,1
3,4,1
8,4,1
9,4,1
12,4,1
13,4,1
18,4,1
25,4,1
27,4,1
28,4,1
29,4,1
30,4,1
31,4,1
35,4,1
39,4,1
40,4,1
43,4,1
50,4,1
57,4,1
65,4,1
1,5,1
2,5,1
7,5,1
9,5,1
10,5,1
11,5,1
12,5,1
13,5,1
16,5,1
18,5,1
19,5,1
24,5,1
28,5,1
30,5,1
32,5,1
36,5,1
37,5,1
39,5,1
42,5,1
44,5,1
45,5,1
47,5,1
48,5,1
55,5,1
58,5,1
61,5,1
62,5,1
64,5,1
1,6,1
9,6,1
10,6,1
11,6,1
12,6,1
13,6,1
15,6,1
16,6,1
19,6,1
21,6,1
25,6,1
35,6,1
42,6,1
43,6,1
45,6,1
47,6,1
60,6,1
66,6,1
67,6,1
68,6,1
71,6,1
72,6,1
2,7,1
3,7,1
6,7,1
9,7,1
10,7,1
11,7,1
12,7,1
13,7,1
14,7,1
17,7,1
18,7,1
19,7,1
23,7,1
24,7,1
26,7,1
27,7,1
32,7,1
35,7,1
43,7,1
45,7,1
46,7,1
49,7,1
59,7,1
60,7,1
61,7,1
64,7,1
70,7,1
73,7,1
74,7,1
3,8,1
5,8,1
9,8,1
10,8,1
11,8,1
12,8,1
13,8,1
14,8,1
15,8,1
16,8,1
17,8,1
18,8,1
21,8,1
26,8,1
28,8,1
32,8,1
33,8,1
34,8,1
39,8,1
44,8,1
47,8,1
54,8,1
63,8,1
64,8,1
69,8,1
1,9,1
2,9,1
3,9,1
4,9,1
5,9,1
6,9,1
7,9,1
8,9,1
18,9,1
19,9,1
22,9,1
26,9,1
30,9,1
32,9,1
36,9,1
44,9,1
45,9,1
46,9,1
69,9,1
70,9,1
73,9,1
1,10,1
2,10,1
3,10,1
4,10,1
5,10,1
7,10,1
8,10,1
15,10,1
21,10,1
22,10,1
27,10,1
29,10,1
48,10,1
56,10,1
66,10,1
67,10,1
2,11,1
3,11,1
4,11,1
5,11,1
7,11,1
8,11,1
9,11,1
12,11,1
16,11,1
18,11,1
19,11,1
21,11,1
22,11,1
25,11,1
27,11,1
28,11,1
30,11,1
35,11,1
36,11,1
37,11,1
43,11,1
47,11,1
48,11,1
52,11,1
54,11,1
57,11,1
59,11,1
64,11,1
69,11,1
70,11,1
71,11,1
4,12,1
6,12,1
7,12,1
8,12,1
10,12,1
13,12,1
18,12,1
19,12,1
20,12,1
21,12,1
22,12,1
25,12,1
26,12,1
28,12,1
31,12,1
33,12,1
44,12,1
45,12,1
49,12,1
53,12,1
58,12,1
65,12,1
67,12,1
2,13,1
3,13,1
5,13,1
7,13,1
9,13,1
10,13,1
17,13,1
18,13,1
20,13,1
22,13,1
24,13,1
28,13,1
32,13,1
34,13,1
44,13,1
46,13,1
48,13,1
57,13,1
58,13,1
67,13,1
1,14,1
2,14,1
3,14,1
4,14,1
6,14,1
7,14,1
8,14,1
11,14,1
16,14,1
21,14,1
22,14,1
23,14,1
24,14,1
26,14,1
27,14,1
28,14,1
31,14,1
32,14,1
50,14,1
53,14,1
56,14,1
58,14,1
59,14,1
66,14,1
1,15,1
2,15,1
3,15,1
4,15,1
5,15,1
6,15,1
7,15,1
8,15,1
9,15,1
13,15,1
17,15,1
20,15,1
27,15,1
28,15,1
29,15,1
30,15,1
36,15,1
43,15,1
50,15,1
58,15,1
72,15,1
73,15,1
74,15,1
1,16,1
2,16,1
3,16,1
4,16,1
5,16,1
6,16,1
7,16,1
8,16,1
9,16,1
20,16,1
21,16,1
22,16,1
27,16,1
32,16,1
34,16,1
35,16,1
36,16,1
37,16,1
38,16,1
40,16,1
46,16,1
47,16,1
48,16,1
52,16,1
57,16,1
62,16,1
64,16,1
70,16,1
2,17,1
5,17,1
6,17,1
7,17,1
8,17,1
10,17,1
14,17,1
16,17,1
19,17,1
20,17,1
22,17,1
24,17,1
26,17,1
27,17,1
28,17,1
39,17,1
43,17,1
50,17,1
64,17,1
65,17,1
66,17,1
69,17,1
71,17,1
72,17,1
73,17,1
1,18,1
3,18,1
5,18,1
6,18,1
8,18,1
14,18,1
19,18,1
20,18,1
27,18,1
30,18,1
39,18,1
47,18,1
61,18,1
66,18,1
67,18,1
3,19,1
7,19,1
10,19,1
17,19,1
18,19,1
28,19,1
31,19,1
34,19,1
35,19,1
37,19,1
42,19,1
44,19,1
49,19,1
51,19,1
55,19,1
3,20,1
5,20,1
6,20,1
7,20,1
9,20,1
11,20,1
13,20,1
15,20,1
25,20,1
29,20,1
30,20,1
31,20,1
36,20,1
37,20,1
39,20,1
47,20,1
2,21,1
4,21,1
5,21,1
6,21,1
9,21,1
13,21,1
15,21,1
16,21,1
17,21,1
19,21,1
22,21,1
26,21,1
28,21,1
31,21,1
39,21,1
43,21,1
51,21,1
52,21,1
53,21,1
58,21,1
59,21,1
62,21,1
63,21,1
73,21,1
2,22,1
5,22,1
6,22,1
9,22,1
10,22,1
11,22,1
13,22,1
17,22,1
20,22,1
23,22,1
28,22,1
52,22,1
55,22,1
63,22,1
72,22,1
74,22,1
1,23,1
4,23,1
5,23,1
9,23,1
10,23,1
11,23,1
14,23,1
15,23,1
16,23,1
19,23,1
20,23,1
27,23,1
28,23,1
29,23,1
30,23,1
32,23,1
35,23,1
37,23,1
56,23,1
57,23,1
69,23,1
72,23,1
2,24,1
8,24,1
9,24,1
11,24,1
12,24,1
16,24,1
17,24,1
21,24,1
26,24,1
35,24,1
42,24,1
43,24,1
47,24,1
49,24,1
59,24,1
63,24,1
66,24,1
73,24,1
1,25,1
3,25,1
5,25,1
6,25,1
7,25,1
10,25,1
12,25,1
13,25,1
15,25,1
19,25,1
23,25,1
27,25,1
29,25,1
32,25,1
47,25,1
50,25,1
53,25,1
55,25,1
70,25,1
71,25,1
2,26,1
3,26,1
11,26,1
12,26,1
19,26,1
31,26,1
33,26,1
36,26,1
39,26,1
41,26,1
45,26,1
52,26,1
58,26,1
63,26,1
64,26,1
72,26,1
1,27,1
4,27,1
5,27,1
7,27,1
8,27,1
9,27,1
10,27,1
14,27,1
15,27,1
16,27,1
18,27,1
20,27,1
24,27,1
26,27,1
29,27,1
32,27,1
33,27,1
42,27,1
46,27,1
49,27,1
57,27,1
58,27,1
63,27,1
64,27,1
1,28,1
5,28,1
7,28,1
8,28,1
9,28,1
10,28,1
11,28,1
13,28,1
16,28,1
18,28,1
24,28,1
39,28,1
40,28,1
41,28,1
48,28,1
49,28,1
55,28,1
56,28,1
66,28,1
67,28,1
69,28,1
70,28,1
72,28,1
73,28,1
3,29,1
22,29,1
32,29,1
37,29,1
40,29,1
41,29,1
44,29,1
45,29,1
46,29,1
47,29,1
51,29,1
52,29,1
59,29,1
62,29,1
63,29,1
70,29,1
72,29,1
73,29,1
74,29,1
1,30,1
13,30,1
27,30,1
29,30,1
38,30,1
39,30,1
41,30,1
42,30,1
48,30,1
49,30,1
52,30,1
53,30,1
54,30,1
58,30,1
59,30,1
60,30,1
64,30,1
66,30,1
68,30,1
69,30,1
72,30,1
3,31,1
14,31,1
21,31,1
28,31,1
34,31,1
38,31,1
39,31,1
41,31,1
43,31,1
44,31,1
45,31,1
46,31,1
47,31,1
49,31,1
52,31,1
56,31,1
57,31,1
58,31,1
59,31,1
61,31,1
67,31,1
71,31,1
73,31,1
74,31,1
20,32,1
30,32,1
31,32,1
36,32,1
37,32,1
40,32,1
41,32,1
46,32,1
53,32,1
55,32,1
56,32,1
59,32,1
60,32,1
62,32,1
63,32,1
64,32,1
65,32,1
66,32,1
68,32,1
71,32,1
15,33,1
29,33,1
30,33,1
35,33,1
37,33,1
38,33,1
39,33,1
40,33,1
41,33,1
44,33,1
46,33,1
47,33,1
52,33,1
56,33,1
57,33,1
58,33,1
65,33,1
66,33,1
67,33,1
68,33,1
71,33,1
72,33,1
73,33,1
74,33,1
5,34,1
9,34,1
29,34,1
37,34,1
38,34,1
39,34,1
40,34,1
41,34,1
43,34,1
44,34,1
47,34,1
49,34,1
53,34,1
61,34,1
67,34,1
70,34,1
11,35,1
18,35,1
27,35,1
30,35,1
31,35,1
34,35,1
37,35,1
38,35,1
39,35,1
40,35,1
41,35,1
42,35,1
45,35,1
46,35,1
47,35,1
51,35,1
52,35,1
54,35,1
55,35,1
59,35,1
60,35,1
65,35,1
73,35,1
74,35,1
12,36,1
27,36,1
31,36,1
33,36,1
37,36,1
38,36,1
39,36,1
40,36,1
41,36,1
42,36,1
43,36,1
44,36,1
45,36,1
46,36,1
49,36,1
54,36,1
56,36,1
58,36,1
59,36,1
60,36,1
62,36,1
66,36,1
68,36,1
69,36,1
72,36,1
1,37,1
9,37,1
15,37,1
25,37,1
27,37,1
29,37,1
30,37,1
31,37,1
32,37,1
33,37,1
34,37,1
35,37,1
36,37,1
46,37,1
47,37,1
50,37,1
54,37,1
58,37,1
67,37,1
71,37,1
74,37,1
22,38,1
27,38,1
29,38,1
30,38,1
31,38,1
32,38,1
33,38,1
35,38,1
36,38,1
43,38,1
49,38,1
50,38,1
55,38,1
59,38,1
60,38,1
63,38,1
66,38,1
69,38,1
70,38,1
74,38,1
9,39,1
11,39,1
16,39,1
24,39,1
25,39,1
30,39,1
31,39,1
32,39,1
33,39,1
35,39,1
36,39,1
37,39,1
40,39,1
44,39,1
46,39,1
47,39,1
49,39,1
50,39,1
53,39,1
55,39,1
56,39,1
60,39,1
61,39,1
62,39,1
63,39,1
65,39,1
68,39,1
69,39,1
71,39,1
72,39,1
1,40,1
2,40,1
14,40,1
16,40,1
20,40,1
32,40,1
34,40,1
35,40,1
36,40,1
38,40,1
41,40,1
46,40,1
47,40,1
48,40,1
49,40,1
50,40,1
53,40,1
54,40,1
56,40,1
58,40,1
60,40,1
61,40,1
62,40,1
64,40,1
65,40,1
67,40,1
8,41,1
10,41,1
13,41,1
20,41,1
30,41,1
31,41,1
33,41,1
35,41,1
37,41,1
38,41,1
45,41,1
46,41,1
48,41,1
50,41,1
52,41,1
56,41,1
57,41,1
58,41,1
61,41,1
66,41,1
73,41,1
74,41,1
10,42,1
13,42,1
16,42,1
18,42,1
20,42,1
29,42,1
30,42,1
31,42,1
32,42,1
34,42,1
35,42,1
36,42,1
39,42,1
44,42,1
49,42,1
50,42,1
51,42,1
52,42,1
54,42,1
55,42,1
56,42,1
57,42,1
59,42,1
71,42,1
72,42,1
73,42,1
23,43,1
25,43,1
29,43,1
30,43,1
31,43,1
32,43,1
33,43,1
34,43,1
35,43,1
36,43,1
37,43,1
41,43,1
45,43,1
48,43,1
55,43,1
56,43,1
59,43,1
63,43,1
64,43,1
66,43,1
69,43,1
24,44,1
29,44,1
30,44,1
31,44,1
32,44,1
33,44,1
34,44,1
35,44,1
36,44,1
37,44,1
48,44,1
49,44,1
50,44,1
55,44,1
58,44,1
60,44,1
62,44,1
63,44,1
65,44,1
67,44,1
68,44,1
72,44,1
73,44,1
5,45,1
9,45,1
10,45,1
17,45,1
23,45,1
28,45,1
30,45,1
33,45,1
34,45,1
35,45,1
36,45,1
38,45,1
42,45,1
44,45,1
47,45,1
48,45,1
50,45,1
52,45,1
54,45,1
55,45,1
56,45,1
58,45,1
59,45,1
63,45,1
65,45,1
66,45,1
68,45,1
71,45,1
72,45,1
74,45,1
9,46,1
20,46,1
25,46,1
28,46,1
29,46,1
31,46,1
33,46,1
34,46,1
36,46,1
42,46,1
47,46,1
48,46,1
55,46,1
57,46,1
58,46,1
60,46,1
62,46,1
63,46,1
70,46,1
72,46,1
1,47,1
31,47,1
35,47,1
38,47,1
45,47,1
46,47,1
56,47,1
59,47,1
64,47,1
67,47,1
6,48,1
31,48,1
33,48,1
34,48,1
35,48,1
37,48,1
39,48,1
41,48,1
43,48,1
53,48,1
57,48,1
61,48,1
62,48,1
65,48,1
66,48,1
68,48,1
74,48,1
3,49,1
5,49,1
8,49,1
15,49,1
27,49,1
30,49,1
32,49,1
33,49,1
34,49,1
37,49,1
41,49,1
43,49,1
44,49,1
45,49,1
47,49,1
50,49,1
54,49,1
56,49,1
58,49,1
61,49,1
63,49,1
65,49,1
68,49,1
69,49,1
71,49,1
72,49,1
74,49,1
3,50,1
10,50,1
15,50,1
18,50,1
25,50,1
30,50,1
33,50,1
34,50,1
37,50,1
38,50,1
39,50,1
41,50,1
45,50,1
48,50,1
51,50,1
56,50,1
65,50,1
67,50,1
69,50,1
73,50,1
74,50,1
8,51,1
12,51,1
29,51,1
32,51,1
33,51,1
37,51,1
38,51,1
39,51,1
42,51,1
43,51,1
44,51,1
47,51,1
48,51,1
55,51,1
56,51,1
57,51,1
58,51,1
60,51,1
61,51,1
63,51,1
12,52,1
21,52,1
25,52,1
26,52,1
30,52,1
36,52,1
37,52,1
39,52,1
40,52,1
44,52,1
45,52,1
49,52,1
54,52,1
57,52,1
59,52,1
60,52,1
65,52,1
71,52,1
74,52,1
5,53,1
17,53,1
21,53,1
26,53,1
29,53,1
31,53,1
33,53,1
34,53,1
35,53,1
38,53,1
40,53,1
41,53,1
43,53,1
47,53,1
51,53,1
55,53,1
60,53,1
62,53,1
63,53,1
69,53,1
70,53,1
72,53,1
73,53,1
4,54,1
7,54,1
19,54,1
26,54,1
30,54,1
31,54,1
39,54,1
40,54,1
47,54,1
57,54,1
60,54,1
62,54,1
63,54,1
64,54,1
70,54,1
74,54,1
9,55,1
11,55,1
14,55,1
19,55,1
23,55,1
29,55,1
32,55,1
33,55,1
35,55,1
36,55,1
37,55,1
38,55,1
42,55,1
43,55,1
44,55,1
46,55,1
48,55,1
52,55,1
54,55,1
57,55,1
58,55,1
67,55,1
68,55,1
72,55,1
73,55,1
7,56,1
25,56,1
29,56,1
33,56,1
35,56,1
36,56,1
37,56,1
38,56,1
39,56,1
41,56,1
44,56,1
46,56,1
52,56,1
61,56,1
63,56,1
67,56,1
72,56,1
6,57,1
22,57,1
29,57,1
30,57,1
32,57,1
34,57,1
35,57,1
38,57,1
39,57,1
40,57,1
41,57,1
42,57,1
44,57,1
47,57,1
48,57,1
50,57,1
51,57,1
52,57,1
53,57,1
54,57,1
55,57,1
56,57,1
60,57,1
65,57,1
68,57,1
69,57,1
72,57,1
73,57,1
74,57,1
7,58,1
21,58,1
22,58,1
29,58,1
31,58,1
33,58,1
40,58,1
41,58,1
42,58,1
44,58,1
46,58,1
50,58,1
53,58,1
54,58,1
56,58,1
57,58,1
66,58,1
67,58,1
69,58,1
70,58,1
3,59,1
8,59,1
22,59,1
29,59,1
31,59,1
32,59,1
35,59,1
36,59,1
37,59,1
44,59,1
46,59,1
48,59,1
50,59,1
53,59,1
55,59,1
62,59,1
66,59,1
67,59,1
69,59,1
71,59,1
72,59,1
73,59,1
74,59,1
6,60,1
8,60,1
21,60,1
29,60,1
31,60,1
32,60,1
36,60,1
37,60,1
43,60,1
47,60,1
48,60,1
50,60,1
51,60,1
52,60,1
53,60,1
56,60,1
58,60,1
59,60,1
64,60,1
65,60,1
68,60,1
69,60,1
74,60,1
3,61,1
4,61,1
17,61,1
25,61,1
27,61,1
36,61,1
40,61,1
41,61,1
44,61,1
46,61,1
48,61,1
57,61,1
58,61,1
63,61,1
65,61,1
66,61,1
67,61,1
68,61,1
69,61,1
72,61,1
74,61,1
11,62,1
24,62,1
30,62,1
33,62,1
35,62,1
36,62,1
38,62,1
40,62,1
