Source,Target
4,1
9,1
12,1
13,1
16,1
17,1
18,1
19,1
23,1
24,1
29,1
30,1
35,1
36,1
41,1
45,1
47,1
56,1
58,1
59,1
70,1
1,2
10,2
11,2
13,2
14,2
20,2
21,2
24,2
25,2
26,2
38,2
48,2
54,2
58,2
70,2
6,3
10,3
11,3
13,3
15,3
16,3
17,3
18,3
19,3
21,3
24,3
28,3
34,3
42,3
48,3
53,3
54,3
56,3
64,3
70,3
2,4
3,4
8,4
9,4
12,4
13,4
18,4
25,4
27,4
28,4
29,4
30,4
31,4
35,4
39,4
40,4
43,4
50,4
57,4
65,4
1,5
2,5
7,5
9,5
10,5
11,5
12,5
13,5
16,5
18,5
19,5
24,5
28,5
30,5
32,5
36,5
37,5
39,5
42,5
44,5
45,5
47,5
48,5
55,5
58,5
61,5
62,5
64,5
1,6
9,6
10,6
11,6
12,6
13,6
15,6
16,6
19,6
21,6
25,6
35,6
42,6
43,6
45,6
47,6
60,6
66,6
67,6
68,6
71,6
72,6
2,7
3,7
6,7
9,7
10,7
11,7
12,7
13,7
14,7
17,7
18,7
19,7
23,7
24,7
26,7
27,7
32,7
35,7
43,7
45,7
46,7
49,7
59,7
60,7
61,7
64,7
70,7
73,7
74,7
3,8
5,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
21,8
26,8
28,8
32,8
33,8
34,8
39,8
44,8
47,8
54,8
63,8
64,8
69,8
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
18,9
19,9
22,9
26,9
30,9
32,9
36,9
44,9
45,9
46,9
69,9
70,9
73,9
1,10
2,10
3,10
4,10
5,10
7,10
8,10
15,10
21,10
22,10
27,10
29,10
48,10
56,10
66,10
67,10
2,11
3,11
4,11
5,11
7,11
8,11
9,11
12,11
16,11
18,11
19,11
21,11
22,11
25,11
27,11
28,11
30,11
35,11
36,11
37,11
43,11
47,11
48,11
52,11
54,11
57,11
59,11
64,11
69,11
70,11
71,11
4,12
6,12
7,12
8,12
10,12
13,12
18,12
19,12
20,12
21,12
22,12
25,12
26,12
28,12
31,12
33,12
44,12
45,12
49,12
53,12
58,12
65,12
67,12
2,13
3,13
5,13
7,13
9,13
10,13
17,13
18,13
20,13
22,13
24,13
28,13
32,13
34,13
44,13
46,13
48,13
57,13
58,13
67,13
1,14
2,14
3,14
4,14
6,14
7,14
8,14
11,14
16,14
21,14
22,14
23,14
24,14
26,14
27,14
28,14
31,14
32,14
50,14
53,14
56,14
58,14
59,14
66,14
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
9,15
13,15
17,15
20,15
27,15
28,15
29,15
30,15
36,15
43,15
50,15
58,15
72,15
73,15
74,15
1,16
2,16
3,16
4,16
5,16
6,16
7,16
8,16
9,16
20,16
21,16
22,16
27,16
32,16
34,16
35,16
36,16
37,16
38,16
40,16
46,16
47,16
48,16
52,16
57,16
62,16
64,16
70,16
2,17
5,17
6,17
7,17
8,17
10,17
14,17
16,17
19,17
20,17
22,17
24,17
26,17
27,17
28,17
39,17
43,17
50,17
64,17
65,17
66,17
69,17
71,17
72,17
73,17
1,18
3,18
5,18
6,18
8,18
14,18
19,18
20,18
27,18
30,18
39,18
47,18
61,18
66,18
67,18
3,19
7,19
10,19
17,19
18,19
28,19
31,19
34,19
35,19
37,19
42,19
44,19
49,19
51,19
55,19
3,20
5,20
6,20
7,20
9,20
11,20
13,20
15,20
25,20
29,20
30,20
31,20
36,20
37,20
39,20
47,20
2,21
4,21
5,21
6,21
9,21
13,21
15,21
16,21
17,21
19,21
22,21
26,21
28,21
31,21
39,21
43,21
51,21
52,21
53,21
58,21
59,21
62,21
63,21
73,21
2,22
5,22
6,22
9,22
10,22
11,22
13,22
17,22
20,22
23,22
28,22
52,22
55,22
63,22
72,22
74,22
1,23
4,23
5,23
9,23
10,23
11,23
14,23
15,23
16,23
19,23
20,23
27,23
28,23
29,23
30,23
32,23
35,23
37,23
56,23
57,23
69,23
72,23
2,24
8,24
9,24
11,24
12,24
16,24
17,24
21,24
26,24
35,24
42,24
43,24
47,24
49,24
59,24
63,24
66,24
73,24
1,25
3,25
5,25
6,25
7,25
10,25
12,25
13,25
15,25
19,25
23,25
27,25
29,25
32,25
47,25
50,25
53,25
55,25
70,25
71,25
2,26
3,26
11,26
12,26
19,26
31,26
33,26
36,26
39,26
41,26
45,26
52,26
58,26
63,26
64,26
72,26
1,27
4,27
5,27
7,27
8,27
9,27
10,27
14,27
15,27
16,27
18,27
20,27
24,27
26,27
29,27
32,27
33,27
42,27
46,27
49,27
57,27
58,27
63,27
64,27
1,28
5,28
7,28
8,28
9,28
10,28
11,28
13,28
16,28
18,28
24,28
39,28
40,28
41,28
48,28
49,28
55,28
56,28
66,28
67,28
69,28
70,28
72,28
73,28
3,29
22,29
32,29
37,29
40,29
41,29
44,29
45,29
46,29
47,29
51,29
52,29
59,29
62,29
63,29
70,29
72,29
73,29
74,29
1,30
13,30
27,30
29,30
38,30
39,30
41,30
42,30
48,30
49,30
52,30
53,30
54,30
58,30
59,30
60,30
64,30
66,30
68,30
69,30
72,30
3,31
14,31
21,31
28,31
34,31
38,31
39,31
41,31
43,31
44,31
45,31
46,31
47,31
49,31
52,31
56,31
57,31
58,31
59,31
61,31
67,31
71,31
73,31
74,31
20,32
30,32
31,32
36,32
37,32
40,32
41,32
46,32
53,32
55,32
56,32
59,32
60,32
62,32
63,32
64,32
65,32
66,32
68,32
71,32
15,33
29,33
30,33
35,33
37,33
38,33
39,33
40,33
41,33
44,33
46,33
47,33
52,33
56,33
57,33
58,33
65,33
66,33
67,33
68,33
71,33
72,33
73,33
74,33
5,34
9,34
29,34
37,34
38,34
39,34
40,34
41,34
43,34
44,34
47,34
49,34
53,34
61,34
67,34
70,34
11,35
18,35
27,35
30,35
31,35
34,35
37,35
38,35
39,35
40,35
41,35
42,35
45,35
46,35
47,35
51,35
52,35
54,35
55,35
59,35
60,35
65,35
73,35
74,35
12,36
27,36
31,36
33,36
37,36
38,36
39,36
40,36
41,36
42,36
43,36
44,36
45,36
46,36
49,36
54,36
56,36
58,36
59,36
60,36
62,36
66,36
68,36
69,36
72,36
1,37
9,37
15,37
25,37
27,37
29,37
30,37
31,37
32,37
33,37
34,37
35,37
36,37
46,37
47,37
50,37
54,37
58,37
67,37
71,37
74,37
22,38
27,38
29,38
30,38
31,38
32,38
33,38
35,38
36,38
43,38
49,38
50,38
55,38
59,38
60,38
63,38
66,38
69,38
70,38
74,38
9,39
11,39
16,39
24,39
25,39
30,39
31,39
32,39
33,39
35,39
36,39
37,39
40,39
44,39
46,39
47,39
49,39
50,39
53,39
55,39
56,39
60,39
61,39
