Source,Target,Weight
4,1,1
9,1,1
12,1,1
13,1,1
16,1,1
17,1,1
18,1,1
19,1,1
23,1,1
24,1,1
29,1,1
31,1,1
32,1,1
36,1,1
39,1,1
42,1,1
43,1,1
44,1,1
46,1,1
48,1,1
50,1,1
59,1,1
60,1,1
61,1,1
65,1,1
67,1,1
74,1,1
75,1,1
76,1,1
79,1,1
83,1,1
86,1,1
87,1,1
88,1,1
89,1,1
91,1,1
93,1,1
102,1,1
107,1,1
110,1,1
111,1,1
113,1,1
116,1,1
120,1,1
121,1,1
125,1,1
128,1,1
141,1,1
142,1,1
150,1,1
153,1,1
157,1,1
162,1,1
163,1,1
165,1,1
170,1,1
174,1,1
176,1,1
177,1,1
182,1,1
183,1,1
184,1,1
188,1,1
191,1,1
193,1,1
196,1,1
197,1,1
200,1,1
201,1,1
210,1,1
211,1,1
217,1,1
221,1,1
222,1,1
224,1,1
228,1,1
230,1,1
232,1,1
239,1,1
241,1,1
242,1,1
245,1,1
246,1,1
251,1,1
254,1,1
262,1,1
265,1,1
268,1,1
269,1,1
272,1,1
274,1,1
276,1,1
277,1,1
278,1,1
279,1,1
281,1,1
285,1,1
293,1,1
295,1,1
296,1,1
299,1,1
300,1,1
305,1,1
310,1,1
312,1,1
314,1,1
334,1,1
340,1,1
365,1,1
373,1,1
381,1,1
383,1,1
385,1,1
401,1,1
420,1,1
457,1,1
465,1,1
466,1,1
472,1,1
474,1,1
475,1,1
478,1,1
481,1,1
496,1,1
500,1,1
505,1,1
510,1,1
524,1,1
550,1,1
555,1,1
561,1,1
572,1,1
589,1,1
597,1,1
627,1,1
671,1,1
725,1,1
731,1,1
782,1,1
785,1,1
819,1,1
834,1,1
871,1,1
890,1,1
893,1,1
938,1,1
956,1,1
971,1,1
999,1,1
1021,1,1
1036,1,1
1171,1,1
1,2,1
10,2,1
11,2,1
13,2,1
14,2,1
20,2,1
21,2,1
24,2,1
25,2,1
26,2,1
32,2,1
33,2,1
40,2,1
42,2,1
48,2,1
49,2,1
53,2,1
56,2,1
58,2,1
60,2,1
65,2,1
70,2,1
72,2,1
73,2,1
76,2,1
78,2,1
81,2,1
82,2,1
85,2,1
91,2,1
92,2,1
93,2,1
95,2,1
98,2,1
102,2,1
107,2,1
112,2,1
113,2,1
118,2,1
124,2,1
127,2,1
128,2,1
129,2,1
132,2,1
134,2,1
135,2,1
136,2,1
139,2,1
141,2,1
145,2,1
146,2,1
147,2,1
148,2,1
156,2,1
157,2,1
163,2,1
164,2,1
165,2,1
166,2,1
171,2,1
179,2,1
180,2,1
187,2,1
189,2,1
190,2,1
198,2,1
199,2,1
202,2,1
204,2,1
206,2,1
208,2,1
211,2,1
213,2,1
220,2,1
223,2,1
227,2,1
230,2,1
237,2,1
238,2,1
243,2,1
244,2,1
249,2,1
251,2,1
254,2,1
255,2,1
258,2,1
262,2,1
265,2,1
266,2,1
268,2,1
269,2,1
274,2,1
283,2,1
287,2,1
288,2,1
289,2,1
293,2,1
297,2,1
298,2,1
300,2,1
301,2,1
308,2,1
317,2,1
327,2,1
329,2,1
360,2,1
376,2,1
379,2,1
383,2,1
388,2,1
407,2,1
418,2,1
440,2,1
446,2,1
455,2,1
473,2,1
490,2,1
507,2,1
563,2,1
584,2,1
593,2,1
627,2,1
659,2,1
674,2,1
683,2,1
697,2,1
733,2,1
786,2,1
791,2,1
810,2,1
811,2,1
826,2,1
833,2,1
834,2,1
861,2,1
869,2,1
882,2,1
901,2,1
914,2,1
927,2,1
934,2,1
959,2,1
967,2,1
1009,2,1
1011,2,1
1076,2,1
1132,2,1
1190,2,1
6,3,1
10,3,1
11,3,1
13,3,1
15,3,1
16,3,1
17,3,1
18,3,1
19,3,1
21,3,1
24,3,1
28,3,1
29,3,1
30,3,1
33,3,1
39,3,1
46,3,1
47,3,1
48,3,1
60,3,1
62,3,1
64,3,1
65,3,1
66,3,1
67,3,1
75,3,1
80,3,1
81,3,1
85,3,1
88,3,1
93,3,1
96,3,1
97,3,1
100,3,1
105,3,1
110,3,1
111,3,1
115,3,1
116,3,1
117,3,1
121,3,1
123,3,1
124,3,1
132,3,1
135,3,1
139,3,1
142,3,1
151,3,1
152,3,1
154,3,1
155,3,1
157,3,1
159,3,1
160,3,1
162,3,1
165,3,1
167,3,1
168,3,1
170,3,1
171,3,1
182,3,1
183,3,1
185,3,1
186,3,1
189,3,1
190,3,1
191,3,1
194,3,1
195,3,1
203,3,1
204,3,1
205,3,1
207,3,1
210,3,1
213,3,1
216,3,1
222,3,1
226,3,1
228,3,1
229,3,1
233,3,1
235,3,1
236,3,1
240,3,1
241,3,1
242,3,1
244,3,1
248,3,1
252,3,1
262,3,1
264,3,1
265,3,1
268,3,1
272,3,1
277,3,1
281,3,1
288,3,1
291,3,1
292,3,1
294,3,1
295,3,1
299,3,1
300,3,1
313,3,1
319,3,1
330,3,1
337,3,1
346,3,1
365,3,1
367,3,1
370,3,1
373,3,1
381,3,1
398,3,1
409,3,1
414,3,1
445,3,1
452,3,1
456,3,1
469,3,1
486,3,1
488,3,1
492,3,1
503,3,1
627,3,1
674,3,1
683,3,1
727,3,1
744,3,1
763,3,1
767,3,1
779,3,1
783,3,1
787,3,1
790,3,1
791,3,1
800,3,1
885,3,1
929,3,1
968,3,1
973,3,1
975,3,1
1230,3,1
2,4,1
3,4,1
8,4,1
9,4,1
12,4,1
13,4,1
18,4,1
25,4,1
27,4,1
28,4,1
29,4,1
32,4,1
33,4,1
40,4,1
42,4,1
45,4,1
51,4,1
53,4,1
55,4,1
60,4,1
66,4,1
73,4,1
77,4,1
78,4,1
80,4,1
84,4,1
86,4,1
91,4,1
97,4,1
99,4,1
112,4,1
113,4,1
118,4,1
122,4,1
131,4,1
132,4,1
135,4,1
143,4,1
147,4,1
149,4,1
155,4,1
157,4,1
161,4,1
165,4,1
173,4,1
178,4,1
180,4,1
181,4,1
184,4,1
186,4,1
188,4,1
190,4,1
195,4,1
196,4,1
198,4,1
199,4,1
202,4,1
207,4,1
210,4,1
212,4,1
213,4,1
214,4,1
216,4,1
218,4,1
223,4,1
225,4,1
226,4,1
227,4,1
229,4,1
230,4,1
235,4,1
237,4,1
242,4,1
244,4,1
247,4,1
249,4,1
253,4,1
256,4,1
261,4,1
264,4,1
269,4,1
271,4,1
275,4,1
277,4,1
280,4,1
281,4,1
283,4,1
284,4,1
287,4,1
290,4,1
291,4,1
292,4,1
298,4,1
303,4,1
308,4,1
341,4,1
349,4,1
385,4,1
418,4,1
439,4,1
466,4,1
474,4,1
512,4,1
564,4,1
572,4,1
604,4,1
705,4,1
710,4,1
726,4,1
744,4,1
751,4,1
792,4,1
812,4,1
832,4,1
834,4,1
885,4,1
903,4,1
926,4,1
928,4,1
1039,4,1
1091,4,1
1150,4,1
1156,4,1
1,5,1
2,5,1
7,5,1
9,5,1
10,5,1
11,5,1
12,5,1
13,5,1
16,5,1
18,5,1
19,5,1
24,5,1
28,5,1
30,5,1
35,5,1
37,5,1
42,5,1
43,5,1
45,5,1
46,5,1
47,5,1
54,5,1
58,5,1
63,5,1
68,5,1
76,5,1
77,5,1
88,5,1
91,5,1
92,5,1
93,5,1
94,5,1
96,5,1
97,5,1
99,5,1
100,5,1
102,5,1
105,5,1
107,5,1
114,5,1
118,5,1
122,5,1
125,5,1
126,5,1
129,5,1
136,5,1
141,5,1
151,5,1
156,5,1
162,5,1
165,5,1
166,5,1
180,5,1
187,5,1
191,5,1
192,5,1
203,5,1
205,5,1
208,5,1
209,5,1
210,5,1
226,5,1
228,5,1
231,5,1
237,5,1
239,5,1
242,5,1
245,5,1
249,5,1
250,5,1
252,5,1
255,5,1
257,5,1
263,5,1
266,5,1
278,5,1
280,5,1
283,5,1
286,5,1
292,5,1
296,5,1
307,5,1
311,5,1
323,5,1
338,5,1
342,5,1
357,5,1
362,5,1
392,5,1
432,5,1
437,5,1
441,5,1
478,5,1
494,5,1
496,5,1
543,5,1
547,5,1
552,5,1
555,5,1
601,5,1
638,5,1
664,5,1
683,5,1
848,5,1
877,5,1
884,5,1
891,5,1
899,5,1
919,5,1
942,5,1
947,5,1
979,5,1
987,5,1
993,5,1
1033,5,1
1066,5,1
1079,5,1
1153,5,1
1,6,1
9,6,1
10,6,1
11,6,1
12,6,1
13,6,1
15,6,1
16,6,1
19,6,1
21,6,1
25,6,1
39,6,1
40,6,1
42,6,1
43,6,1
45,6,1
46,6,1
52,6,1
53,6,1
56,6,1
58,6,1
67,6,1
69,6,1
70,6,1
77,6,1
78,6,1
80,6,1
84,6,1
85,6,1
86,6,1
91,6,1
92,6,1
96,6,1
97,6,1
99,6,1
102,6,1
105,6,1
106,6,1
111,6,1
113,6,1
115,6,1
116,6,1
125,6,1
127,6,1
128,6,1
131,6,1
132,6,1
134,6,1
140,6,1
146,6,1
147,6,1
148,6,1
153,6,1
154,6,1
155,6,1
158,6,1
159,6,1
160,6,1
165,6,1
168,6,1
172,6,1
173,6,1
175,6,1
176,6,1
179,6,1
182,6,1
183,6,1
185,6,1
187,6,1
188,6,1
190,6,1
196,6,1
197,6,1
199,6,1
203,6,1
210,6,1
215,6,1
221,6,1
222,6,1
225,6,1
229,6,1
240,6,1
248,6,1
249,6,1
250,6,1
251,6,1
257,6,1
264,6,1
265,6,1
270,6,1
272,6,1
280,6,1
281,6,1
283,6,1
284,6,1
286,6,1
291,6,1
292,6,1
293,6,1
294,6,1
306,6,1
308,6,1
333,6,1
334,6,1
346,6,1
371,6,1
373,6,1
383,6,1
396,6,1
430,6,1
445,6,1
469,6,1
476,6,1
486,6,1
499,6,1
505,6,1
519,6,1
549,6,1
579,6,1
582,6,1
597,6,1
615,6,1
641,6,1
696,6,1
703,6,1
712,6,1
724,6,1
756,6,1
806,6,1
816,6,1
824,6,1
826,6,1
857,6,1
880,6,1
922,6,1
938,6,1
982,6,1
989,6,1
1002,6,1
1083,6,1
1110,6,1
1125,6,1
2,7,1
3,7,1
6,7,1
9,7,1
10,7,1
11,7,1
12,7,1
13,7,1
14,7,1
17,7,1
18,7,1
19,7,1
23,7,1
24,7,1
26,7,1
27,7,1
31,7,1
39,7,1
41,7,1
44,7,1
45,7,1
47,7,1
48,7,1
50,7,1
55,7,1
59,7,1
62,7,1
68,7,1
79,7,1
80,7,1
83,7,1
87,7,1
91,7,1
93,7,1
94,7,1
96,7,1
97,7,1
105,7,1
107,7,1
110,7,1
118,7,1
119,7,1
122,7,1
126,7,1
129,7,1
135,7,1
136,7,1
138,7,1
139,7,1
141,7,1
143,7,1
150,7,1
151,7,1
155,7,1
160,7,1
164,7,1
171,7,1
172,7,1
173,7,1
174,7,1
180,7,1
181,7,1
183,7,1
192,7,1
193,7,1
194,7,1
195,7,1
197,7,1
198,7,1
201,7,1
205,7,1
206,7,1
208,7,1
210,7,1
213,7,1
218,7,1
220,7,1
223,7,1
224,7,1
228,7,1
237,7,1
240,7,1
243,7,1
245,7,1
250,7,1
254,7,1
258,7,1
260,7,1
261,7,1
266,7,1
270,7,1
271,7,1
275,7,1
277,7,1
280,7,1
282,7,1
284,7,1
285,7,1
288,7,1
295,7,1
296,7,1
298,7,1
314,7,1
327,7,1
328,7,1
329,7,1
336,7,1
355,7,1
391,7,1
392,7,1
453,7,1
470,7,1
476,7,1
509,7,1
519,7,1
542,7,1
548,7,1
551,7,1
576,7,1
585,7,1
586,7,1
674,7,1
677,7,1
729,7,1
776,7,1
790,7,1
803,7,1
839,7,1
856,7,1
859,7,1
883,7,1
888,7,1
890,7,1
901,7,1
911,7,1
980,7,1
981,7,1
1004,7,1
1033,7,1
1084,7,1
1109,7,1
1117,7,1
3,8,1
5,8,1
9,8,1
10,8,1
11,8,1
12,8,1
13,8,1
14,8,1
15,8,1
16,8,1
17,8,1
18,8,1
21,8,1
26,8,1
28,8,1
29,8,1
30,8,1
31,8,1
33,8,1
35,8,1
37,8,1
38,8,1
39,8,1
46,8,1
52,8,1
56,8,1
58,8,1
61,8,1
64,8,1
65,8,1
72,8,1
75,8,1
80,8,1
82,8,1
83,8,1
85,8,1
86,8,1
92,8,1
95,8,1
98,8,1
99,8,1
100,8,1
102,8,1
105,8,1
108,8,1
109,8,1
111,8,1
119,8,1
120,8,1
122,8,1
123,8,1
127,8,1
132,8,1
136,8,1
149,8,1
150,8,1
151,8,1
152,8,1
154,8,1
158,8,1
160,8,1
170,8,1
171,8,1
172,8,1
173,8,1
174,8,1
177,8,1
182,8,1
184,8,1
186,8,1
188,8,1
203,8,1
204,8,1
205,8,1
207,8,1
209,8,1
210,8,1
211,8,1
214,8,1
215,8,1
216,8,1
226,8,1
228,8,1
231,8,1
235,8,1
237,8,1
238,8,1
239,8,1
242,8,1
246,8,1
247,8,1
256,8,1
259,8,1
263,8,1
269,8,1
271,8,1
273,8,1
279,8,1
282,8,1
285,8,1
287,8,1
289,8,1
293,8,1
297,8,1
301,8,1
302,8,1
328,8,1
354,8,1
364,8,1
377,8,1
381,8,1
396,8,1
399,8,1
424,8,1
435,8,1
463,8,1
472,8,1
474,8,1
508,8,1
529,8,1
545,8,1
558,8,1
575,8,1
588,8,1
610,8,1
629,8,1
652,8,1
660,8,1
689,8,1
756,8,1
761,8,1
798,8,1
830,8,1
833,8,1
847,8,1
852,8,1
882,8,1
932,8,1
967,8,1
1002,8,1
1032,8,1
1087,8,1
1113,8,1
1115,8,1
1205,8,1
1,9,1
2,9,1
3,9,1
4,9,1
5,9,1
6,9,1
7,9,1
8,9,1
18,9,1
19,9,1
22,9,1
26,9,1
29,9,1
31,9,1
33,9,1
35,9,1
40,9,1
41,9,1
43,9,1
44,9,1
47,9,1
48,9,1
52,9,1
54,9,1
58,9,1
61,9,1
62,9,1
70,9,1
72,9,1
74,9,1
77,9,1
78,9,1
79,9,1
92,9,1
98,9,1
100,9,1
102,9,1
103,9,1
104,9,1
106,9,1
107,9,1
108,9,1
109,9,1
112,9,1
114,9,1
116,9,1
122,9,1
123,9,1
128,9,1
129,9,1
134,9,1
138,9,1
139,9,1
140,9,1
141,9,1
143,9,1
145,9,1
146,9,1
148,9,1
151,9,1
153,9,1
154,9,1
158,9,1
160,9,1
162,9,1
163,9,1
170,9,1
174,9,1
175,9,1
180,9,1
183,9,1
185,9,1
189,9,1
192,9,1
195,9,1
201,9,1
203,9,1
212,9,1
215,9,1
216,9,1
219,9,1
220,9,1
222,9,1
224,9,1
225,9,1
226,9,1
231,9,1
235,9,1
238,9,1
239,9,1
242,9,1
244,9,1
245,9,1
246,9,1
248,9,1
250,9,1
255,9,1
258,9,1
265,9,1
272,9,1
274,9,1
277,9,1
281,9,1
295,9,1
298,9,1
303,9,1
304,9,1
310,9,1
327,9,1
344,9,1
346,9,1
363,9,1
373,9,1
376,9,1
409,9,1
437,9,1
443,9,1
468,9,1
499,9,1
502,9,1
510,9,1
518,9,1
537,9,1
542,9,1
571,9,1
574,9,1
578,9,1
597,9,1
630,9,1
670,9,1
673,9,1
708,9,1
712,9,1
719,9,1
740,9,1
767,9,1
782,9,1
790,9,1
800,9,1
820,9,1
834,9,1
864,9,1
873,9,1
897,9,1
903,9,1
936,9,1
940,9,1
951,9,1
960,9,1
979,9,1
1052,9,1
1073,9,1
1088,9,1
1120,9,1
1160,9,1
1188,9,1
1,10,1
2,10,1
3,10,1
4,10,1
5,10,1
7,10,1
8,10,1
15,10,1
21,10,1
22,10,1
27,10,1
30,10,1
32,10,1
34,10,1
35,10,1
36,10,1
41,10,1
42,10,1
47,10,1
49,10,1
53,10,1
56,10,1
61,10,1
62,10,1
64,10,1
70,10,1
71,10,1
73,10,1
75,10,1
77,10,1
78,10,1
81,10,1
83,10,1
85,10,1
86,10,1
92,10,1
95,10,1
101,10,1
103,10,1
113,10,1
124,10,1
130,10,1
132,10,1
135,10,1
137,10,1
141,10,1
149,10,1
150,10,1
155,10,1
157,10,1
160,10,1
164,10,1
165,10,1
166,10,1
170,10,1
175,10,1
176,10,1
